date,team1,team1pts,team2,team2pts
2015-01-16,DET,98.0,IND,96.0
2015-01-16,CLE,126.0,LAC,121.0
2015-01-16,GSW,115.0,OKC,127.0
2015-01-16,MEM,106.0,ORL,96.0
2015-01-16,NOP,81.0,PHI,96.0
2015-01-16,MIN,99.0,PHO,110.0
2015-01-16,MIA,95.0,SAC,83.0
2015-01-16,POR,96.0,SAS,110.0
2015-01-16,ATL,110.0,TOR,89.0
2015-01-16,LAL,85.0,UTA,94.0
2015-01-16,BRK,102.0,WAS,80.0
2015-01-17,WAS,99.0,BRK,90.0
2015-01-17,ATL,107.0,CHI,99.0
2015-01-17,IND,71.0,CHO,80.0
2015-01-17,MIN,113.0,DEN,105.0
2015-01-17,PHI,89.0,DET,107.0
2015-01-17,GSW,131.0,HOU,106.0
2015-01-17,POR,98.0,MEM,102.0
2015-01-17,LAC,117.0,SAC,108.0
2015-01-18,OKC,127.0,ORL,99.0
2015-01-18,UTA,69.0,SAS,89.0
2015-01-18,NOP,95.0,TOR,93.0
2015-01-19,DET,82.0,ATL,93.0
2015-01-19,MIN,80.0,CHO,105.0
2015-01-19,CHI,94.0,CLE,108.0
2015-01-19,DEN,79.0,GSW,122.0
2015-01-19,IND,98.0,HOU,110.0
2015-01-19,BOS,93.0,LAC,102.0
2015-01-19,DAL,103.0,MEM,95.0
2015-01-19,TOR,92.0,MIL,89.0
2015-01-19,NOP,92.0,NYK,99.0
2015-01-19,LAL,100.0,PHO,115.0
2015-01-19,SAC,94.0,POR,98.0
2015-01-19,PHI,76.0,WAS,111.0
2015-01-20,SAS,109.0,DEN,99.0
2015-01-20,OKC,94.0,MIA,86.0
2015-01-21,IND,91.0,ATL,110.0
2015-01-21,MIA,76.0,CHO,78.0
2015-01-21,UTA,92.0,CLE,106.0
2015-01-21,ORL,118.0,DET,128.0
2015-01-21,HOU,113.0,GSW,126.0
2015-01-21,TOR,86.0,MEM,92.0
2015-01-21,DAL,98.0,MIN,75.0
2015-01-21,LAL,80.0,NOP,96.0
2015-01-21,NYK,98.0,PHI,91.0
2015-01-21,POR,113.0,PHO,118.0
2015-01-21,BRK,103.0,SAC,100.0
2015-01-21,OKC,105.0,WAS,103.0
2015-01-22,SAS,81.0,CHI,104.0
2015-01-22,BRK,84.0,LAC,123.0
2015-01-22,UTA,101.0,MIL,99.0
2015-01-22,BOS,90.0,POR,89.0
2015-01-23,OKC,93.0,ATL,103.0
2015-01-23,CHO,90.0,CLE,129.0
2015-01-23,CHI,102.0,DAL,98.0
2015-01-23,BOS,100.0,DEN,99.0
2015-01-23,SAC,101.0,GSW,126.0
2015-01-23,IND,87.0,MIA,89.0
2015-01-23,NOP,92.0,MIN,84.0
2015-01-23,ORL,106.0,NYK,113.0
2015-01-23,TOR,91.0,PHI,86.0
2015-01-23,HOU,113.0,PHO,111.0
2015-01-23,LAL,85.0,SAS,99.0
2015-01-24,NYK,71.0,CHO,76.0
2015-01-24,PHI,83.0,MEM,101.0
2015-01-24,DET,86.0,MIL,101.0
2015-01-24,WAS,96.0,POR,103.0
2015-01-24,BRK,73.0,UTA,108.0
2015-01-25,MIN,100.0,ATL,112.0
2015-01-25,MIA,96.0,CHI,84.0
2015-01-25,OKC,98.0,CLE,108.0
2015-01-25,WAS,117.0,DEN,115.0
2015-01-25,BOS,111.0,GSW,114.0
2015-01-25,HOU,99.0,LAL,87.0
2015-01-25,DAL,106.0,NOP,109.0
2015-01-25,IND,106.0,ORL,99.0
2015-01-25,LAC,120.0,PHO,100.0
2015-01-25,MIL,95.0,SAS,101.0
2015-01-25,DET,110.0,TOR,114.0
2015-01-26,DEN,98.0,LAC,102.0
2015-01-26,ORL,94.0,MEM,103.0
2015-01-26,PHI,74.0,NOP,99.0
2015-01-26,MIN,84.0,OKC,92.0
2015-01-26,BOS,99.0,UTA,90.0
2015-01-27,MEM,109.0,DAL,90.0
2015-01-27,CLE,103.0,DET,95.0
2015-01-27,CHI,113.0,GSW,111.0
2015-01-27,TOR,104.0,IND,91.0
2015-01-27,WAS,98.0,LAL,92.0
2015-01-27,MIL,109.0,MIA,102.0
2015-01-28,BRK,102.0,ATL,113.0
2015-01-28,POR,94.0,CLE,99.0
2015-01-28,DAL,94.0,HOU,99.0
2015-01-28,BOS,98.0,MIN,110.0
2015-01-28,DEN,93.0,NOP,85.0
2015-01-28,OKC,92.0,NYK,100.0
2015-01-28,DET,69.0,PHI,89.0
2015-01-28,WAS,98.0,PHO,106.0
2015-01-28,CHO,86.0,SAS,95.0
2015-01-28,SAC,102.0,TOR,119.0
2015-01-28,LAC,94.0,UTA,89.0
2015-01-29,NYK,82.0,IND,103.0
2015-01-29,CHI,118.0,LAL,123.0
2015-01-29,DEN,69.0,MEM,99.0
2015-01-29,MIL,115.0,ORL,100.0
2015-01-30,POR,99.0,ATL,105.0
2015-01-30,HOU,93.0,BOS,87.0
2015-01-30,TOR,127.0,BRK,122.0
2015-01-30,SAC,90.0,CLE,101.0
2015-01-30,DAL,93.0,MIA,72.0
2015-01-30,LAC,103.0,NOP,108.0
2015-01-30,MIN,94.0,PHI,103.0
2015-01-30,CHI,93.0,PHO,99.0
2015-01-30,GSW,100.0,UTA,110.0
2015-01-31,PHI,85.0,ATL,91.0
2015-01-31,CHO,104.0,DEN,86.0
2015-01-31,HOU,101.0,DET,114.0
2015-01-31,PHO,87.0,GSW,106.0
2015-01-31,SAC,99.0,IND,94.0
2015-01-31,OKC,74.0,MEM,85.0
2015-01-31,POR,88.0,MIL,95.0
2015-01-31,CLE,106.0,MIN,90.0
2015-01-31,DAL,108.0,ORL,93.0
2015-01-31,LAC,105.0,SAS,85.0
2015-01-31,TOR,120.0,WAS,116.0
2015-02-01,MIA,83.0,BOS,75.0
2015-02-01,LAL,80.0,NYK,92.0
2015-02-02,LAC,100.0,BRK,102.0
2015-02-02,PHI,84.0,CLE,97.0
2015-02-02,MIN,94.0,DAL,100.0
2015-02-02,ATL,100.0,NOP,115.0
2015-02-02,ORL,97.0,OKC,104.0
2015-02-02,MEM,102.0,PHO,101.0
2015-02-02,MIL,82.0,TOR,75.0
2015-02-02,CHO,92.0,WAS,88.0
2015-02-03,MIA,91.0,DET,108.0
2015-02-03,BOS,108.0,NYK,97.0
2015-02-03,DEN,98.0,PHI,105.0
2015-02-03,UTA,102.0,POR,103.0
2015-02-03,GSW,121.0,SAC,96.0
2015-02-04,WAS,96.0,ATL,105.0
2015-02-04,DEN,100.0,BOS,104.0
2015-02-04,DAL,114.0,GSW,128.0
2015-02-04,CHI,90.0,HOU,101.0
2015-02-04,DET,109.0,IND,114.0
2015-02-04,LAL,105.0,MIL,113.0
2015-02-04,MIA,101.0,MIN,102.0
2015-02-04,OKC,102.0,NOP,91.0
2015-02-04,ORL,103.0,SAS,110.0
2015-02-04,BRK,109.0,TOR,93.0
2015-02-04,MEM,100.0,UTA,90.0
2015-02-05,WAS,87.0,CHO,94.0
2015-02-05,LAC,94.0,CLE,105.0
2015-02-05,PHO,87.0,POR,108.0
2015-02-05,DAL,101.0,SAC,78.0
2015-02-06,GSW,116.0,ATL,124.0
2015-02-06,PHI,96.0,BOS,107.0
2015-02-06,NYK,88.0,BRK,92.0
2015-02-06,DEN,88.0,DET,98.0
2015-02-06,MIL,111.0,HOU,117.0
2015-02-06,CLE,99.0,IND,103.0
2015-02-06,MEM,89.0,MIN,90.0
2015-02-06,NOP,116.0,OKC,113.0
2015-02-06,LAL,97.0,ORL,103.0
2015-02-06,UTA,93.0,PHO,100.0
2015-02-06,MIA,85.0,SAS,98.0
2015-02-06,LAC,107.0,TOR,123.0
2015-02-07,POR,101.0,DAL,111.0
2015-02-07,BOS,93.0,MIL,96.0
2015-02-07,CHI,107.0,NOP,72.0
2015-02-07,GSW,106.0,NYK,92.0
2015-02-07,CHO,81.0,PHI,89.0
2015-02-07,SAC,90.0,UTA,102.0
2015-02-07,BRK,77.0,WAS,114.0
2015-02-08,IND,103.0,CHO,102.0
2015-02-08,LAL,105.0,CLE,120.0
2015-02-08,MIN,112.0,DET,101.0
2015-02-08,POR,109.0,HOU,98.0
2015-02-08,ATL,88.0,MEM,94.0
2015-02-08,LAC,108.0,OKC,131.0
2015-02-08,CHI,98.0,ORL,97.0
2015-02-08,PHO,83.0,SAC,85.0
2015-02-08,SAS,82.0,TOR,87.0
2015-02-09,LAC,115.0,DAL,98.0
2015-02-09,OKC,124.0,DEN,114.0
2015-02-09,SAS,95.0,IND,93.0
2015-02-09,NYK,95.0,MIA,109.0
2015-02-09,BRK,97.0,MIL,103.0
2015-02-09,ATL,117.0,MIN,105.0
